区分,子会社コード,子会社名,市場(子),時価総額(子/億円),PBR(子),親会社コード,親会社名,市場(親),時価総額(親/億円),親会社の持株比率(%),比率の種類,基準日,出所,備考
連結子会社(50%超),7630,壱番屋,プライム,1731.7,5.45,2810,ハウス食品グループ本社,プライム,3545.3,51.01,所有株式数,2026年,https://www.ullet.com/壱番屋/大株主,
連結子会社(50%超),4714,リソー教育グループ,プライム,362.7,3.49,3003,ヒューリック,プライム,13212.2,51.01,所有株式数,不明,https://web.fisco.jp/platform/companies/0471400,関係あり。2024-05-28のTOB成立＋第三者割当増資払込により親会社異動（当時の議決権所有割合51.00%、出所 https://www.riso-kyoikugroup.com/img/20240528_01_02.pdf ）。FISCO最新大株主表では51.01%。基準日不明
連結子会社(50%超),4997,日本農薬,プライム,919.5,1.64,4401,ＡＤＥＫＡ,プライム,4433.7,51.0,所有株式数,2026-03-31,https://www.nichino.co.jp/ir/page_10093.html,公式IR。発行済株式総数に対する割合
連結子会社(50%超),3909,ショーケース,スタンダード,16.6,0.99,254A,ＡＩフュージョンキャピタルグループ,スタンダード,105.7,51.0,所有株式数,不明,https://web.fisco.jp/platform/companies/0390900,関係あり。2024年11-12月のTOB（成立、決済2024-12-19）と第三者割当増資により連結子会社化。FISCO大株主表で51.00%。上場は維持。基準日不明
連結子会社(50%超),4326,インテージホールディングス,プライム,765.5,2.25,9432,ＮＴＴ,プライム,143662.5,50.95,所有株式数,不明,https://web.fisco.jp/platform/companies/0432600,2023年のNTTドコモによるTOBで子会社化。直接の親会社はNTTドコモで、上場親会社はNTT(9432)。FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),7102,日本車輌製造,プライム,523.8,0.62,9022,東海旅客鉄道,プライム,36218.9,50.95,所有株式数,不明,https://web.fisco.jp/platform/companies/0710200,FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),4479,マクアケ,グロース,123.0,2.02,4751,サイバーエージェント,プライム,6389.4,50.87,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/4479/stockholders/,
連結子会社(50%超),2806,ユタカフーズ,スタンダード,133.2,0.58,2875,東洋水産,プライム,9251.0,50.86,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%A6%E3%82%BF%E3%82%AB%E3%83%95%E3%83%BC%E3%82%BA/%E5%A4%A7%E6%A0%AA%E4%B8%BB,Ullet（EDINET由来の二次情報）。公式IR・株探・IRBANKは403等で取得不可のため一次情報未確認
連結子会社(50%超),4847,インテリジェント　ウェイブ,プライム,400.6,3.98,7912,大日本印刷,プライム,12666.9,50.73,所有株式数,不明,https://web.fisco.jp/platform/companies/0484700,FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),8278,フジ,プライム,1771.9,0.79,8267,イオン,プライム,36339.6,50.6,所有株式数,2026年,https://www.ullet.com/フジ/大株主,
連結子会社(50%超),4091,日本酸素ホールディングス,プライム,23768.0,1.88,4188,三菱ケミカルグループ,プライム,16154.8,50.59,所有株式数,2026-03-31,https://www.ullet.com/%E6%97%A5%E6%9C%AC%E9%85%B8%E7%B4%A0%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),4113,田岡化学工業,スタンダード,115.1,0.59,4005,住友化学,プライム,9584.2,50.58,所有株式数,2026-03-31,https://www.taoka-chem.co.jp/ir/shareholders.html,"関係確認。会社IR「株主・株式情報」で住友化学が7,247,000株50.58%の筆頭株主"
連結子会社(50%超),7421,カッパ・クリエイト,プライム,806.4,8.55,7616,コロワイド,プライム,2121.9,50.57,議決権,2026-03-31,https://www.kappa-create.co.jp/company/governance.pdf,"コーポレートガバナンス報告書（2026-06-25更新）。直接の親会社はSPCカッパ（コロワイドが普通株式100%保有）。所有株式数ベースでは50.54%（24,943,302株）"
連結子会社(50%超),3178,チムニー,スタンダード,232.1,3.63,9994,やまや,スタンダード,221.7,50.53,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%81%E3%83%A0%E3%83%8B%E3%83%BC/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),7513,コジマ,プライム,1122.3,1.53,3048,ビックカメラ,プライム,2950.7,50.47,議決権,2025-08-31,https://kitaishihon.com/company/7513/board-of-director,親子関係あり。有価証券報告書の関係会社欄に親会社ビックカメラ（被所有）50.47%と記載。完全子会社化の観測記事はあるが正式な発表は確認できず
連結子会社(50%超),5659,日本精線,プライム,434.0,1.02,5471,大同特殊鋼,プライム,4865.4,50.37,所有株式数,2026-03-31,https://www.ullet.com/%E6%97%A5%E6%9C%AC%E7%B2%BE%E7%B7%9A/%E5%A4%A7%E6%A0%AA%E4%B8%BB,関係確認。大同特殊鋼が50.37%で筆頭株主(2021年のTOBで出資比率を51%に引き上げ済)。直近の追加TOB・完全子会社化の発表は確認できず
連結子会社(50%超),8892,エスコン,プライム,1067.2,1.3,9502,中部電力,プライム,22004.6,50.3,所有株式数,2026-03-31,https://en.es-conjapan.co.jp/investor/stock/,"関係確認。会社IR(英文)の大株主表で中部電力が49,599,000株50.3%。2021年に中部電力が連結子会社化。上場は継続中"
連結子会社(50%超),1871,ピーエス・コンストラクション,プライム,1021.1,1.59,1801,大成建設,プライム,20571.8,50.2,議決権,2026-06-26,https://japanir.jp/company/company-1871/ir/1871-20260626-01_wp_disclosure_update/,2023年12月の大成建設によるTOBで親会社化。2024年7月5日付コーポレートガバナンス報告書では50.19%（https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20240705/20240618530927.pdf）。基準日は開示更新日
連結子会社(50%超),3391,ツルハホールディングス,プライム,9793.6,1.12,8267,イオン,プライム,36339.6,50.11,議決権,2026-01-14,https://www.aeon.info/wp-content/uploads/news/pdf/2026/01/260107R_1.pdf,"2026年1月のTOB成立でイオンの連結子会社化(決済開始日2026-01-14)。数値は公開買付け後の株券等所有割合(議決権2,286,323個)"
連結子会社(50%超),4615,神東塗料,スタンダード,44.2,0.34,4611,大日本塗料,プライム,447.9,50.1,所有株式数,2025-03-31,https://www.shintopaint.co.jp/ir/pdf/meeting/2025_0630.pdf,"関係あり。2025年2月の大日本塗料によるTOBで子会社化。第131回定時株主総会招集通知の大株主の状況で17,052千株・50.10%（2025年3月31日現在）。議決権ベースではなく所有株式数ベース"
連結子会社(50%超),8570,イオンフィナンシャルサービス,プライム,3510.3,0.74,8267,イオン,プライム,36339.6,49.99,議決権,2025-02-28,https://www.aeonfinancial.co.jp/-/media/AeonGroup/Aeonfinancial/Files/activity/governance/governance/2025/govenance250526.pdf?sc_lang=ja-JP,議決権49.99%（間接所有含む）。イオンの連結子会社／イオングループ各社による間接所有を含む議決権比率。2025年5月26日付コーポレートガバナンス報告書の記載
連結子会社(50%超),7182,ゆうちょ銀行,プライム,116263.2,1.26,6178,日本郵政,プライム,69111.8,49.87,所有株式数,2026-03-31,https://www.ullet.com/ゆうちょ銀行/大株主,日本郵政の保有は49.87%だが、実質支配力基準で連結子会社
連結子会社(50%超),6050,イー・ガーディアン,プライム,210.3,1.72,3962,チェンジホールディングス,プライム,699.2,49.7,所有株式数,不明,https://web.fisco.jp/platform/companies/0605000?fm=mj,議決権49.70%だが、チェンジHDは実質支配力基準で連結子会社と公表／関係あり（要注意）。2023年10月のTOB結果開示の表題は「その他の関係会社及び主要株主である筆頭株主の異動」で「親会社の異動」ではない。チェンジHDは連結子会社化を公表。FISCO大株主表で49.70%と議決権50%未満のため、親会社該当かは会社側資料で要再確認。基準日不明
連結子会社(50%超),4645,市進ホールディングス,スタンダード,35.4,1.55,9470,学研ホールディングス,プライム,442.9,49.7,議決権,2026-02-28,https://kitaishihon.com/company/4645/board-of-director,議決権49.7%だが実質支配力基準で連結子会社／親子関係あり。2023年7月に学研HDが市進HDを連結子会社化。有報の関係会社欄に被所有49.7%。50%未満だが実質支配力基準で連結子会社。直近のTOB・完全子会社化の発表は確認できず
連結子会社(50%超),3929,ソーシャルワイヤー,グロース,28.6,1.59,6562,ジーニー,グロース,122.3,49.0,議決権,2026-03-31,https://kitaishihon.com/company/3929/board-of-director,議決権49.0%だが有報上「親会社」と記載／親子関係あり。2024年7月1日の第三者割当増資でジーニーが49%取得、取締役過半数派遣により実質支配力基準で連結子会社・親会社の異動を開示済み。50%未満だが有報上「親会社」と記載
連結子会社(50%超),9946,ミニストップ,プライム,523.9,2.2,8267,イオン,プライム,36339.6,48.71,所有株式数,2026-02-28,https://www.ullet.com/ミニストップ/大株主,イオン直接48.71%＋イオンフィナンシャルサービス1.39%でグループ計約50.1%。イオンの連結子会社／イオンフィナンシャルサービス1.39%を含めるとグループ計約50.1%
連結子会社(50%超),5282,ジオスター,スタンダード,124.1,0.5,5401,日本製鉄,プライム,36322.7,44.1,議決権,2025-03-31,https://www.geostr.co.jp/wp-content/uploads/20250515_controlling_stockholder.pdf,議決権44.10%だが有報の支配株主等開示で日本製鉄を親会社と記載／関係あり。会社開示「支配株主等に関する事項」で日本製鉄の議決権所有割合44.10%（直接40.70%＋間接3.40%）。過半数未満だが実質支配基準により親会社扱い
連結子会社(50%超),8891,ＡＭＧホールディングス,スタンダード,58.9,0.48,7593,ＶＴホールディングス,プライム,599.1,43.49,議決権,2026-03-31,https://kitaishihon.com/company/8891/board-of-director,議決権43.49%だが有報上「親会社」と記載／親子関係あり。有価証券報告書の「（親会社）」欄にVTホールディングス43.49%と記載。50%未満だが実質支配力基準により親会社
連結子会社(50%超),9049,京福電気鉄道,スタンダード,,,9045,京阪ホールディングス,プライム,3253.0,43.17,所有株式数,不明,https://web.fisco.jp/platform/companies/0904900,議決権43.17%だが京阪HDを親会社と記載／関係あり。FISCO大株主表で京阪HD 43.17%の筆頭株主。日本語版Wikipediaでも2024-03-31時点で43.17%。議決権過半数未満だが京阪HDの連結子会社。FISCO側の基準日は記載なし
連結子会社(50%超),2737,トーメンデバイス,プライム,2506.1,3.55,8015,豊田通商,プライム,69979.1,26.62,所有株式数,不明,https://web.fisco.jp/platform/companies/0273700,豊田通商直接26.62%＋ネクスティエレクトロニクス23.51%でグループ計約50.1%／豊田通商の直接保有は26.62%。別に第2位株主ネクスティエレクトロニクス（豊田通商グループ）が23.51%を保有し合計約50.1%。FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード,1741.7,0.85,8267,イオン,プライム,36339.6,18.44,所有株式数,不明,https://web.fisco.jp/platform/companies/0322200,イオン直接18.44%＋イオンマーケットインベストメント34.33%でグループ計約52.8%／イオンの直接保有は18.44%。筆頭株主はイオンマーケットインベストメント34.33%で、イオングループ計約52.8%。FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),9636,きんえい,スタンダード,117.1,6.17,9041,近鉄グループホールディングス,プライム,6744.6,5.87,所有株式数,不明,https://web.fisco.jp/platform/companies/0963600,近鉄GHD直接5.87%＋退職給付信託口45.55%＋近鉄保険サービス9.00%でグループ計約60.4%／近鉄GHDの直接保有は5.87%。筆頭株主は日本マスタートラスト信託銀行（近畿日本鉄道退職給付信託口）45.55%、ほかに近鉄保険サービス9.00%があり近鉄グループ合計は約60.4%。FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),4765,ＳＢＩグローバルアセットマネジメント,プライム,867.0,2.69,8473,ＳＢＩホールディングス,プライム,21149.9,,不明,不明,https://www.ullet.com/%EF%BC%B3%EF%BC%A2%EF%BC%A9%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%90%E3%83%AB%E3%82%A2%E3%82%BB%E3%83%83%E3%83%88%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%83%88/%E5%A4%A7%E6%A0%AA%E4%B8%BB,SBI HD名義の直接保有はないが、SBIアセットマネジメントグループ43.7%＋SBIファイナンシャルサービシーズ12.6%でグループ計約56.3%／SBIホールディングス名義の直接保有は上位5位に不在。SBIアセットマネジメントグループ43.7%+SBIファイナンシャルサービシーズ12.6%(いずれもSBI HD傘下)で合計約56.3%。間接保有比率は未確認
持分法適用など(20〜50%),7222,日産車体,スタンダード,1257.0,0.67,7201,日産自動車,プライム,10919.2,50.0,所有株式数,2026-03-31,https://www.nissan-shatai.co.jp/IR/STOCK/SHARES/index.html,公式IR。ちょうど50.00%。第2位にエフィッシモ関連とみられるイーシーエム エムエフ22.59%
持分法適用など(20〜50%),7181,かんぽ生命保険,プライム,19500.7,0.42,6178,日本郵政,プライム,69111.8,49.75,所有株式数,2026-03-31,https://www.ullet.com/%E3%81%8B%E3%82%93%E3%81%BD%E7%94%9F%E5%91%BD%E4%BF%9D%E9%99%BA/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"親会社が筆頭株主だが50%をわずかに下回る。株探(2026-03-31)では48.38%/179,898千株=発行済株式数ベース、ullet49.75%は自己株式を除くベース。https://s.kabutan.jp/stocks/7181/stockholders/"
持分法適用など(20〜50%),1930,北陸電気工事,プライム,442.2,0.96,9505,北陸電力,プライム,2399.3,49.38,所有株式数,2026-03-31,https://www.kabutore.biz/genzaikabuka/okabunushi1930.html,2025年8月に北陸電力の連結子会社から持分法適用会社（その他の関係会社）へ異動／2025年8月に北陸電力の連結子会社から持分法適用会社（その他の関係会社）へ異動し親子上場は解消済み（日経報道「北陸電気工事、北陸電力の持ち分法適用会社に」2025-08-22適時開示）
持分法適用など(20〜50%),5838,楽天銀行,プライム,10776.0,2.74,4755,楽天グループ,プライム,15455.0,49.26,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/5838/stockholders/,保有比率は既に50%未満。2026-05-20に楽天銀行が楽天カード・楽天証券HDを株式交付で子会社化するフィンテック事業再編の最終合意が発表されており（https://corp.rakuten.co.jp/news/press/2026/0520_11.html ）、資本関係が変動する見込み
持分法適用など(20〜50%),7849,スターツ出版,スタンダード,114.9,1.06,8850,スターツコーポレーション,プライム,2256.4,48.59,所有株式数,不明,https://web.fisco.jp/platform/companies/0784900,"比率はFISCO。会社IR（https://starts-pub.jp/ir/stockholder ・2025-12-31現在）でスターツコーポレーション1,865,600株が筆頭株主、関係会社スターツアメニティーが806,000株（20.99%）を保有。FISCOの比率には基準日表示がないため基準日は不明とした。"
持分法適用など(20〜50%),7299,フジオーゼックス,スタンダード,177.5,0.54,5471,大同特殊鋼,プライム,4865.4,47.9,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%95%E3%82%B8%E3%82%AA%E3%83%BC%E3%82%BC%E3%83%83%E3%82%AF%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,関係確認だが単独では過半数未満。大同特殊鋼47.9%が筆頭株主、第2位の大同興業5.51%を合わせると大同グループで過半数。直近のTOB・完全子会社化の発表は確認できず
持分法適用など(20〜50%),7942,ＪＳＰ,プライム,777.6,0.7,4182,三菱瓦斯化学,プライム,7375.8,47.74,議決権,2023-12-22,https://www.mgc.co.jp/corporate/news/2023/231031.html,2023年に資本業務提携を解消しJSPの自己株式公開買付けに応募、2023-12-22付でJSPは連結子会社から外れ持分法適用関連会社に。数値は応募後見込み。現時点（2026年）の最新比率は一次情報を確認できず（株探・IRBANK・日経・みんかぶが403/robots拒否、Web検索回数上限）
持分法適用など(20〜50%),2678,アスクル,プライム,1112.9,2.33,4689,ＬＩＮＥヤフー,プライム,36821.8,46.89,所有株式数,2026-05-20,https://www.askul.co.jp/corp/investor/stock/infomation/,"関係確認。アスクルIR「株式の状況」でLINEヤフーが筆頭株主(41,980,900株/発行済89,771,300株)。TOB・完全子会社化の発表は確認できず"
持分法適用など(20〜50%),2705,大戸屋ホールディングス,スタンダード,642.4,14.99,7616,コロワイド,プライム,2121.9,46.79,所有株式数,2023-03-31,https://www.ullet.com/%E5%A4%A7%E6%88%B8%E5%B1%8B%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,閲覧できたデータが2023年3月期と古い。株探・バフェットコード・日経等が403/robots制限で最新基準日を確認できず
持分法適用など(20〜50%),2281,プリマハム,プライム,1209.8,1.0,8001,伊藤忠商事,プライム,161222.3,46.19,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/2281/stockholders/,伊藤忠食品も4.48%保有。伊藤忠商事は連結子会社として開示（2026年5月8日適時開示で「当社子会社（プリマハム）」と記載）
持分法適用など(20〜50%),2226,湖池屋,スタンダード,522.2,2.44,2897,日清食品ホールディングス,プライム,8435.4,45.1,所有株式数,2026-03-31,https://www.ullet.com/%E6%B9%96%E6%B1%A0%E5%B1%8B/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。2位は一般社団法人湖池の会15.01%
持分法適用など(20〜50%),3686,ディー・エル・イー,スタンダード,26.1,0.65,9405,朝日放送グループホールディングス,プライム,366.6,45.0,所有株式数,不明,https://web.fisco.jp/platform/companies/0368600?fm=mj,関係解消済み（親子上場に該当しない）。2024年5月に朝日放送GHDが2.00%売却し51.75%→49.75%となり、連結子会社から持分法適用関連会社へ異動。現在FISCO大株主表で45.00%の筆頭株主だが親会社ではない。基準日不明
持分法適用など(20〜50%),1946,トーエネック,プライム,2104.8,1.35,9502,中部電力,プライム,22004.6,44.6,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%88%E3%83%BC%E3%82%A8%E3%83%8D%E3%83%83%E3%82%AF/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet大株主(2026年3月31日基準)
持分法適用など(20〜50%),6368,オルガノ,プライム,5699.5,4.02,4042,東ソー,プライム,8003.6,44.28,所有株式数,不明,https://web.fisco.jp/platform/companies/0636800,FISCOは基準日を表示しないため基準日不明。
持分法適用など(20〜50%),8700,丸八証券,スタンダード,77.8,1.0,8616,東海東京フィナンシャル・ホールディングス,プライム,2279.3,43.63,所有株式数,2026-03-31,https://www.ullet.com/%E4%B8%B8%E5%85%AB%E8%A8%BC%E5%88%B8/%E5%A4%A7%E6%A0%AA%E4%B8%BB,50%未満
持分法適用など(20〜50%),9369,キユーソー流通システム,スタンダード,738.5,1.58,2809,キユーピー,プライム,6006.0,43.29,所有株式数,2025-11-30,https://www.krs.co.jp/ir/ratio.html,会社IR開示。50%未満
持分法適用など(20〜50%),1941,中電工,プライム,2726.5,1.08,9504,中国電力,プライム,3896.0,41.35,所有株式数,2026-03-31,https://www.chudenko.co.jp/info/stock/,会社IRの「株主・株式情報」記載の持株比率。議決権ベースの数値は未確認。
持分法適用など(20〜50%),7412,アトム,スタンダード,672.1,6.47,7616,コロワイド,プライム,2121.9,41.19,所有株式数,不明,https://web.fisco.jp/platform/companies/0741200,FISCOは基準日を表示しないため基準日不明。
持分法適用など(20〜50%),7036,イーエムネットジャパン,グロース,25.8,3.06,9434,ソフトバンク,プライム,118675.5,40.91,所有株式数,2025-12-31,https://www.ullet.com/イーエムネットジャパン/大株主,
持分法適用など(20〜50%),3769,ＧＭＯペイメントゲートウェイ,プライム,6697.4,5.35,9449,ＧＭＯインターネットグループ,プライム,3722.5,40.72,所有株式数,不明,https://web.fisco.jp/platform/companies/0376900,FISCOは基準日を表示しないため基準日不明。
持分法適用など(20〜50%),9434,ソフトバンク,プライム,118675.5,4.08,9984,ソフトバンクグループ,プライム,359887.0,39.92,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/9434/stockholders/,保有名義はソフトバンクグループジャパン(SBG100%子会社)。SBG本体名義の直接保有は上位に不在
持分法適用など(20〜50%),3461,パルマ,スタンダード,42.4,1.91,3245,ディア・ライフ,プライム,548.6,39.29,所有株式数,不明,https://web.fisco.jp/platform/companies/0346100,【リスト誤りの可能性】上位10大株主に中部電力は存在せず、中部電力との資本関係を示す情報は確認できなかった。筆頭株主はディア・ライフ(3245)39.29%、次いで日本郵政キャピタル18.92%。持株比率が過半に満たないため「親会社」該当かは未確認。
持分法適用など(20〜50%),1934,ユアテック,プライム,1814.7,1.17,9506,東北電力,プライム,6896.0,39.19,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%A6%E3%82%A2%E3%83%86%E3%83%83%E3%82%AF/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
持分法適用など(20〜50%),2393,日本ケアサプライ,スタンダード,694.7,3.86,8058,三菱商事,プライム,181134.3,38.52,所有株式数,2026-03-31,https://www.ullet.com/%E6%97%A5%E6%9C%AC%E3%82%B1%E3%82%A2%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4/%E5%A4%A7%E6%A0%AA%E4%B8%BB,三菱商事が筆頭株主だが50%未満。第2位はALSOK(綜合警備保障)30.57%
持分法適用など(20〜50%),8844,コスモスイニシア,スタンダード,418.8,0.75,1925,大和ハウス工業,プライム,28238.6,38.21,所有株式数,2025-03-31,https://www.cigr.co.jp/irinfo/stock/constitution/,2024-01-11に大和ハウスが保有株式の一部を共立メンテナンスへ譲渡（共立メンテナンス25.02%）。大和ハウスは38.21%で過半に達せず。公式IRの掲載が2025-03-31基準のままで、2026年基準のデータは未確認
持分法適用など(20〜50%),8572,アコム,スタンダード,7615.3,1.06,8306,三菱ＵＦＪフィナンシャル・グループ,プライム,407458.7,37.57,所有株式数,2026-03-31,https://www.acom.co.jp/corp/ir/stock/outline/,三菱UFJ信託銀行2.01%を含めると約39.6%
持分法適用など(20〜50%),8254,さいか屋,スタンダード,19.0,1.32,2927,ＡＦＣ−ＨＤアムスライフサイエンス,スタンダード,124.3,37.08,所有株式数,不明,https://web.fisco.jp/platform/companies/0825400,関係あり。2021-05-26の第三者割当増資でAFC-HDの連結子会社化。FISCO大株主表で184千単位・37.08%の筆頭株主。2026年5月にAFC-HDが保有割合減少の変更報告書No.4を提出。株式交換によりAFC-HDが完全親会社となる予定で2027-03-01上場廃止予定。基準日不明
持分法適用など(20〜50%),2698,キャンドゥ,スタンダード,520.0,4.83,8267,イオン,プライム,36339.6,35.55,所有株式数,2026-02-28,https://s.kabutan.jp/stocks/2698/stockholders/,2021年10月にイオンがTOBを発表し子会社化。株探掲載の直近大株主データでは35.55%と過半数未満で、有報ベースの議決権比率は未確認
持分法適用など(20〜50%),5016,ＪＸ金属,プライム,31937.1,5.2,5020,ＥＮＥＯＳホールディングス,プライム,38026.8,35.27,議決権,2026-07-09,https://www.hd.eneos.co.jp/news/release_information/upload/20260511_01_01_mr02.pdf,株式保有はあるが親子（連結子会社）関係は解消済み。2025年3月19日の上場時にENEOSは持分法適用会社へ移行。2026年5-6月のJX金属による自己株式公開買付けに応募し42.38%→35.27%（決済開始日2026-07-09）。JX金属の有報では「その他の関係会社」として2026-03-31現在42.44%と記載
持分法適用など(20〜50%),1942,関電工,プライム,11031.3,2.86,9501,東京電力ホールディングス,プライム,8810.1,34.46,所有株式数,2026-03-31,https://the-shashi.com/tse/1942/shareholders/,直接の筆頭株主は東京電力パワーグリッド（東京電力HDの完全子会社）。2025年3月時点46.35%→2026年3月34.46%へ低下しており、TEPCO側の保有株式売却があった可能性。一次情報（関電工有報）は未確認
持分法適用など(20〜50%),4816,東映アニメーション,スタンダード,6117.1,3.63,9605,東映,プライム,3780.5,34.32,所有株式数,2026-03-31,https://www.ullet.com/%E6%9D%B1%E6%98%A0%E3%82%A2%E3%83%8B%E3%83%A1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3/%E5%A4%A7%E6%A0%AA%E4%B8%BB,東映単体は50%未満(第2位テレビ朝日20%、第4位東映ビデオ3.31%)
持分法適用など(20〜50%),8566,リコーリース,プライム,2123.8,0.88,7752,リコー,プライム,9293.6,33.57,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主だが過半数未満。2位にみずほリース19.92%
持分法適用など(20〜50%),8410,セブン銀行,プライム,4001.6,1.43,3382,セブン＆アイ・ホールディングス,プライム,45794.6,33.4,議決権,2026-03-31,https://finance.biggo.jp/news/jpx_tdnet_140120260508519112,【関係変化】2025年6月にセブン＆アイが保有比率を39.9%へ引き下げ持分法適用会社化。TDnet「支配株主等に関する事項について」（2026-03-31基準）ではセブン＆アイは「その他の関係会社」で議決権33.40%（間接）、セブン-イレブン・ジャパンが直接33.40%、伊藤忠商事20.43%。親会社には該当しない。
持分法適用など(20〜50%),248A,キッズスター,グロース,21.2,0.88,4376,くふうカンパニーホールディングス,グロース,104.3,33.4,所有株式数,不明,https://web.fisco.jp/platform/companies/0248A00?fm=mj,関係あり。2024年9月上場時はくふうカンパニーHDの連結子会社（TDnet「連結子会社（株式会社キッズスター）の上場承認に関するお知らせ」2024-08-23）。FISCO大株主表で33.40%だが基準日記載なし。QUICK見出しではくふうカンパニーの大量保有62.71%（創業者穐田誉輝氏26.94%との共同保有とみられる）。議決権ベース・基準日は未確認
持分法適用など(20〜50%),3116,トヨタ紡織,プライム,3995.7,0.81,7203,トヨタ自動車,プライム,358215.5,32.43,所有株式数,2026-03-31,https://strainer.jp/companies/JP-3116/ownership,トヨタ単独では50%未満。トヨタ不動産10.27%、豊田自動織機4.34%等グループ保有あり（ullet https://www.ullet.com/%E3%83%88%E3%83%A8%E3%82%BF%E7%B4%A1%E7%B9%94/%E5%A4%A7%E6%A0%AA%E4%B8%BB でも同値）
持分法適用など(20〜50%),4685,菱友システムズ,スタンダード,346.3,1.57,7011,三菱重工業,プライム,130342.5,31.21,所有株式数,2026-03-31,https://www.ullet.com/%E8%8F%B1%E5%8F%8B%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E3%82%BA/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"関係確認だが過半数未満。三菱重工が3,980千株31.21%で筆頭株主(第2位は従業員持株会20.43%)。連結子会社か持分法適用関連会社かは本調査では未確認"
持分法適用など(20〜50%),2588,プレミアムウォーターホールディングス,スタンダード,806.2,3.59,9435,光通信,プライム,16921.2,29.62,所有株式数,不明,https://www.ullet.com/%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,光通信本体の直接保有は29.62%（第2位）。筆頭はHCMAアルファ40.44%で、光通信グループ合算は約69.6%との報道／光通信本体は第2位。筆頭はHCMAアルファ40.44%(光通信系)。光通信グループ合算は大量保有報告ベースで約69.56%との報道あり。ullet表示は2026年時点だが基準日の明示なし
持分法適用など(20〜50%),7211,三菱自動車工業,プライム,4933.2,0.54,8058,三菱商事,プライム,181134.3,26.67,所有株式数,2026-03-31,https://www.ullet.com/%E4%B8%89%E8%8F%B1%E8%87%AA%E5%8B%95%E8%BB%8A%E5%B7%A5%E6%A5%AD/%E5%A4%A7%E6%A0%AA%E4%B8%BB,筆頭株主は日産自動車26.67%。リスト記載の三菱商事は第2位で22.23%。いずれも50%未満で連結子会社ではない
持分法適用など(20〜50%),5482,愛知製鋼,プライム,2075.2,0.88,7203,トヨタ自動車,プライム,358215.5,24.69,所有株式数,2026年,https://www.ullet.com/愛知製鋼/大株主,豊田自動織機（非上場化済み）8.47%を含むとトヨタグループ計約33%
持分法適用など(20〜50%),6473,ジェイテクト,プライム,6630.9,0.82,7203,トヨタ自動車,プライム,358215.5,24.26,所有株式数,不明,https://www.ullet.com/%E3%82%B8%E3%82%A7%E3%82%A4%E3%83%86%E3%82%AF%E3%83%88/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主だが過半数未満(持分法適用関連会社の可能性)。ullet表示は2026年時点だが基準日の明示なし
